0,430,4069.5783,39.79476,-86.234915
-342.6054722,-177.4506393,-0.621112522,0.25,70
-342.6314612,-181.4615424,-0.632749636,0.25,70
-342.6831597,-186.7821962,-0.647877185,0.25,70
-342.7130965,-188.9055933,-0.653761721,0.25,70
-342.7516014,-191.6037277,-0.661241116,0.25,70
-342.7998153,-194.9423145,-0.670506368,0.25,70
-342.8466323,-198.1579803,-0.679445695,0.25,70
-342.9096513,-202.4651078,-0.691414957,0.25,70
-342.9634233,-206.1214028,-0.701588312,0.25,70
-343.0138589,-209.5271723,-0.711160304,0.25,70
-343.0715085,-213.3700941,-0.721855504,0.25,70
-343.1589311,-219.1728001,-0.737952482,0.25,70
-343.2337037,-224.1279948,-0.751744532,0.25,70
-343.3491643,-228.5660188,-0.763308018,0.25,70
-343.4436386,-232.4853269,-0.773674517,0.25,70
-343.5740042,-238.433283,-0.789624922,0.25,70
-343.6609097,-242.2263866,-0.799744619,0.25,70
-343.7853819,-247.6629737,-0.814285698,0.25,70
-343.9526922,-254.9639171,-0.833821153,0.25,70
-344.0669362,-259.9495974,-0.847208263,0.25,70
-344.2091121,-266.1644007,-0.863933732,0.25,70
-344.3344087,-271.6399895,-0.878693789,0.25,70
-344.4599886,-277.1326952,-0.893499004,0.25,70
-344.5706511,-281.9792688,-0.906565377,0.25,70
-344.6919035,-286.7843388,-0.91926689,0.25,70
-344.7961435,-293.1113484,-0.937186801,0.25,70
-344.8708149,-297.4022985,-0.949226813,0.25,70
-344.9539709,-302.1786683,-0.962651608,0.25,70
-345.0402895,-307.1425831,-0.976610365,0.25,70
-345.0473229,-311.5580372,-0.990252866,0.25,70
-345.0539554,-315.562784,-1.002616968,0.25,70
-345.0602434,-319.3058061,-1.014177942,0.25,70
-345.0693466,-324.7119336,-1.0309347,0.25,70
-345.0791869,-330.1431804,-1.047756779,0.25,70
-345.093949,-337.2566565,-1.06979696,0.25,70
-345.106655,-343.4966458,-1.089129976,0.25,70
-345.1182279,-349.3025638,-1.107117763,0.25,70
-345.1292857,-354.9333091,-1.124635756,0.25,70
-345.1389003,-359.8756614,-1.140025361,0.25,70
-345.1491029,-365.1625929,-1.156480765,0.25,70
-345.1576295,-369.6614096,-1.170481595,0.25,70
-345.1701017,-376.2638598,-1.19106594,0.25,70
-345.1792721,-381.1275876,-1.206236504,0.25,70
-345.1877627,-385.6322508,-1.220278777,0.25,70
-345.2028046,-392.91275,-1.242935929,0.25,70
-345.2109374,-397.8577098,-1.258521927,0.25,70
-345.2206615,-402.8365282,-1.273904609,0.25,70
-345.233949,-409.8042391,-1.295029715,0.25,70
-345.2480916,-416.5921862,-1.313809039,0.25,70
-345.2619501,-423.4193052,-1.326519296,0.25,70
-345.2690536,-430.8801948,-1.32645881,0.25,70
-345.2745929,-439.2413779,-1.307662212,0.25,70
-345.2769858,-445.3756741,-1.278560437,0.25,70
-345.2793206,-450.6260558,-1.250594232,0.25,70
-345.2783191,-455.967444,-1.213651602,0.25,70
-345.2750307,-461.9610805,-1.169511519,0.25,70
-345.276811,-468.3912733,-1.126513796,0.25,70
-345.277781,-474.4522818,-1.088125904,0.25,70
-345.2891461,-481.8524319,-1.03380639,0.25,70
-345.2415531,-490.6375007,-0.952282804,0.25,70
-345.0811009,-497.5755328,-0.887866479,0.25,70
-344.7564039,-504.8030443,-0.810145475,0.25,70
-344.2527657,-511.5866315,-0.740206959,0.25,20
-343.4857024,-519.295769,-0.658448807,0.25,20
-342.9870755,-522.9054834,-0.626489688,0.25,20
-342.2986472,-527.0527314,-0.595508701,0.25,20
-340.523222,-535.2543417,-0.564950771,0.25,20
-338.9101785,-542.1380487,-0.535587535,0.25,20
-336.8703342,-549.8648361,-0.518326786,0.25,20
-335.0332901,-556.0693771,-0.511448653,0.25,20
-334.0722667,-559.2377408,-0.504448541,0.25,20
-332.3469098,-564.7103341,-0.491105631,0.25,20
-330.6287417,-570.0145585,-0.470416235,0.25,20
-329.2081632,-573.8545251,-0.469191768,0.25,20
-327.0562737,-579.1935324,-0.47748992,0.25,20
-325.0405656,-583.7413067,-0.496991968,0.25,20
-322.7027875,-588.702269,-0.522410035,0.25,20
-319.9872227,-594.1577985,-0.547663574,0.25,20
-316.688226,-600.3111752,-0.587938988,0.25,20
-313.1767455,-606.4364189,-0.623922158,0.25,20
-308.8560075,-613.6471795,-0.653456944,0.25,20
-305.1918085,-619.396234,-0.680777609,0.25,20
-301.2323506,-625.5544329,-0.695037938,0.25,20
-296.6832302,-632.3823258,-0.695473357,0.25,20
-291.9354697,-638.9033859,-0.708067755,0.25,20
-286.1651972,-646.013879,-0.752041993,0.25,20
-279.5283294,-653.192282,-0.845124036,0.25,20
-274.1189364,-658.7301762,-0.914765835,0.25,20
-270.6212784,-662.2652262,-0.937070656,0.25,20
-264.9419788,-667.7683997,-0.959311471,0.25,20
-260.6234408,-671.898951,-0.949723974,0.25,20
-254.4394957,-677.694335,-0.90969458,0.25,20
-248.8192615,-682.8344453,-0.858454132,0.25,20
-244.9267851,-686.0944465,-0.837544447,0.25,20
-240.9124335,-689.1658686,-0.844839732,0.25,20
-235.6707245,-693.0398321,-0.849434266,0.25,20
-229.963931,-697.2617795,-0.807796234,0.25,20
-227.1394582,-699.3434121,-0.782799781,0.25,20
-225.0797973,-700.8373519,-0.765413015,0.25,20
-222.9336749,-702.361339,-0.745245664,0.25,20
-218.6010974,-705.383833,-0.680085039,0.25,20
-213.0667633,-708.7689618,-0.655975627,0.25,20
-207.2355155,-711.9183725,-0.673901887,0.25,20
-203.0074241,-714.069452,-0.688435625,0.25,20
-197.8513566,-716.562635,-0.708177873,0.25,20
-190.6833625,-720.0453127,-0.696202872,0.25,20
-185.2453262,-722.5990388,-0.666088399,0.25,20
-182.3589908,-723.8346812,-0.660652004,0.25,20
-173.6040262,-727.192864,-0.677752015,0.25,20
-166.0766532,-729.8428402,-0.685346624,0.25,20
-158.5088101,-732.2370197,-0.708250681,0.25,20
-145.5002112,-735.6307562,-0.756468302,0.25,20
-139.13432,-737.0297282,-0.772324766,0.25,20
-123.0405227,-740.4180858,-0.769398952,0.25,20
-120.0886807,-740.9117532,-0.77192845,0.25,20
-114.3177103,-741.6368648,-0.79967336,0.25,20
-106.8732827,-742.2859694,-0.849277889,0.25,20
-99.14063776,-742.6307773,-0.910503593,0.25,20
-91.25038387,-742.7074789,-0.985779325,0.25,20
-85.97975621,-742.7946473,-1.023430782,0.25,20
-79.55076841,-742.9047804,-1.071056491,0.25,20
-71.93397108,-743.0284824,-1.129288273,0.25,20
-62.88844206,-743.1746503,-1.202649592,0.25,20
-51.96793738,-743.3400151,-1.289151088,0.25,20
-45.5198228,-743.4339481,-1.334877955,0.25,20
-39.17164333,-743.5293479,-1.374968571,0.25,20
-32.73733126,-743.6271942,-1.408818298,0.25,20
-22.94918785,-743.7780049,-1.430237758,0.25,20
-16.26108982,-743.8798558,-1.429035017,0.25,20
-5.10289825,-744.1717012,-1.413689418,0.25,20
7.529841821,-744.6154824,-1.408150447,0.25,20
15.04915881,-744.8783056,-1.397438401,0.25,20
21.77444192,-745.1122371,-1.410990792,0.25,20
27.80149278,-745.3207865,-1.410089051,0.25,20
38.09396397,-745.5269551,-1.405971329,0.25,20
47.13628602,-745.6658388,-1.399976075,0.25,20
55.86088522,-745.7981004,-1.387419364,0.25,20
63.41469574,-745.9113825,-1.360763105,0.25,20
74.53063034,-745.9964949,-1.292411831,0.25,20
85.83728208,-745.9351121,-1.19802473,0.25,20
99.37904578,-745.3162534,-1.111774427,0.25,20
109.7893354,-744.8215659,-1.061141379,0.25,20
116.3729443,-744.5682036,-1.038667629,0.25,20
125.8269927,-744.1917356,-0.986722439,0.25,20
140.6906755,-743.5334955,-0.898593271,0.25,20
150.4981957,-742.6707236,-0.857990098,0.25,20
162.1334668,-741.0193094,-0.805983953,0.25,20
171.9968038,-739.1086984,-0.778796456,0.25,20
180.6460356,-737.0964301,-0.74434743,0.25,20
192.0898769,-734.0817144,-0.68016558,0.25,20
202.7105759,-730.9398021,-0.605581739,0.25,20
211.3795394,-727.7188005,-0.602072062,0.25,20
219.2922706,-724.3716589,-0.620732805,0.25,20
227.7565294,-720.6833366,-0.616642868,0.25,20
233.2342567,-718.2851832,-0.597097979,0.25,20
245.502683,-712.8928806,-0.461324959,0.25,20
253.2997319,-709.4223488,-0.29592243,0.25,20
257.3815622,-707.3217167,-0.223889293,0.25,20
265.0687081,-702.178323,-0.212145762,0.25,20
270.1602986,-698.4442634,-0.222632054,0.25,20
